video_id,trending_date,channel_title,category_id,views,likes,dislikes,comment_count,comments_disabled,ratings_disabled,state,lat,lon,geometry,category
tWTRrBXebMs,2018-05-28,RadaanMedia,24,443809,2173,543,201,FALSO,FALSO,Chandigarh,30.71999697,76.78000565,POINT (76.78000565000001 30.71999697),Entertainment
70jTAv0YtSk,2018-05-28,Zee Marathi,24,217811,553,80,8,FALSO,FALSO,Andaman And Nicobar,11.66702557,92.73598262,POINT (92.73598262 11.66702557),Entertainment
Mt6C9WXCXlg,2018-05-28,V6 News Telugu,25,295108,2323,204,251,FALSO,FALSO,Orissa,19.82042971,85.90001746,POINT (85.90001746 19.82042971),News & Politics
pcrtWBYBua8,2018-05-28,Public TV | ಪಬ್ಲಿಕ್ ಟಿವಿ,25,148639,417,133,23,FALSO,FALSO,Karnataka,12.57038129,76.91999711,POINT (76.91999711 12.57038129),News & Politics
bPQegnJ1loo,2018-05-28,Viu India,24,132293,1359,76,91,FALSO,FALSO,Himachal Pradesh,31.10002545,77.16659704,POINT (77.16659704 31.10002545),Entertainment
U0PWKkf4gow,2018-05-28,Filmy Focus,24,415700,3325,370,406,FALSO,FALSO,Andaman And Nicobar,11.66702557,92.73598262,POINT (92.73598262 11.66702557),Entertainment
wlYEgwwSb4M,2018-05-28,Vanitha Tv,24,40982,411,17,23,FALSO,FALSO,Meghalaya,25.57049217,91.8800142,POINT (91.88001420000001 25.57049217),Entertainment
pr-8-AloDIQ,2018-05-28,etvteluguindia,24,209475,1027,159,129,FALSO,FALSO,Madhya Pradesh,21.30039105,76.13001949,POINT (76.13001949 21.30039105),Entertainment
L59DvD-q61U,2018-05-29,Shanmukh Jaswanth,24,217083,8827,816,717,FALSO,FALSO,Maharashtra,19.25023195,73.16017493,POINT (73.16017493 19.25023195),Entertainment
2yqasEIYSEM,2018-05-29,Manorama News,25,360958,1360,321,488,FALSO,FALSO,Assam,26.7499809,94.21666744,POINT (94.21666743999999 26.7499809),News & Politics
QHxgamOL3No,2018-05-29,Oneindia Tamil | ஒன்இந்தியா தமிழ்,25,143120,2900,59,84,FALSO,FALSO,Uttaranchal,30.32040895,78.05000565,POINT (78.05000565 30.32040895),News & Politics
UNIXnayqdHw,2018-05-29,SET India,24,1323837,2246,846,229,FALSO,FALSO,Assam,26.7499809,94.21666744,POINT (94.21666743999999 26.7499809),Entertainment
ql-WQp-jKp0,2018-05-29,Asianet,24,293112,1678,164,57,FALSO,FALSO,Arunachal Pradesh,27.10039878,93.61660071,POINT (93.61660071 27.10039878),Entertainment
